epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,311.593,1.11449,0.83829,1.43532,0.7925,0.77034,0.79686,0.50808,1.30728,0.95165,1.75875,0.000821206,0.000821206,0.000821206
43,318.953,1.09605,0.85102,1.41806,0.7993,0.74231,0.81497,0.52487,1.31116,0.93843,1.75096,0.000800577,0.000800577,0.000800577
44,326.312,1.06968,0.80562,1.41216,0.77261,0.7708,0.79041,0.50609,1.30902,0.94083,1.77651,0.000779948,0.000779948,0.000779948
45,333.677,1.06185,0.79667,1.39954,0.78085,0.78129,0.80766,0.49713,1.37283,1.00445,1.77261,0.000759318,0.000759318,0.000759318
46,340.909,1.04844,0.79164,1.39734,0.77853,0.75271,0.7993,0.51031,1.31632,0.93976,1.7425,0.000738689,0.000738689,0.000738689
47,348.128,1.08297,0.80506,1.42637,0.83891,0.70844,0.79461,0.50433,1.36299,0.96378,1.79979,0.00071806,0.00071806,0.00071806
48,355.378,1.0555,0.7744,1.37405,0.78198,0.76489,0.80937,0.51054,1.34805,0.94828,1.77144,0.000697431,0.000697431,0.000697431
49,362.848,1.04914,0.76927,1.37807,0.77158,0.76384,0.8063,0.52051,1.30274,0.93325,1.71821,0.000676802,0.000676802,0.000676802
50,370.264,1.04439,0.7519,1.3778,0.79414,0.78368,0.82624,0.52971,1.29205,0.92343,1.7131,0.000656173,0.000656173,0.000656173
51,377.672,1.05554,0.78025,1.3832,0.76132,0.76971,0.81848,0.52499,1.2906,0.9172,1.71594,0.000635544,0.000635544,0.000635544
52,384.927,1.0168,0.76162,1.36715,0.78932,0.76656,0.81852,0.53322,1.29564,0.90632,1.74587,0.000614915,0.000614915,0.000614915
53,392.371,1.04695,0.74586,1.37366,0.81424,0.75217,0.79664,0.50752,1.30159,0.95394,1.76488,0.000594286,0.000594286,0.000594286
54,399.736,1.02956,0.73634,1.37436,0.79754,0.7739,0.81891,0.53251,1.29666,0.88788,1.74107,0.000573656,0.000573656,0.000573656
55,407.185,1.03384,0.73569,1.38427,0.78166,0.75746,0.81026,0.53552,1.28564,0.89579,1.72146,0.000553027,0.000553027,0.000553027
